"","sample","Cell_A","Cell_A_num","Cell_A_count","Cell_B","Cell_B_num","Cell_B_count ","original_CLQ","percentile","significant"
"177","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","CD90+PDGFRb-PDPN-CAV1-","15","38","0","0.002",TRUE
"178","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","CD90-PDGFRb+PDPN-CAV1-","16","1","0","0.002",TRUE
"179","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","CD90-PDGFRb-PDPN+CAV1-","17","30","0","0.002",TRUE
"180","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN+CAV1+","10","2","CD90-PDGFRb-PDPN-CAV1+","18","35","0","0.002",TRUE
"181","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK+Vim+MUC1+","1","15","2.7984126984127","0.004",TRUE
"182","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK+Vim+MUC1-","2","2198","10.5035963429958","0",TRUE
"183","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK+Vim-MUC1+","3","9","4.66402116402116","0.116",FALSE
"184","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK+Vim-MUC1-","4","1916","5.47706034397057","0",TRUE
"185","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK-Vim-MUC1-","5","446","15.8116591928251","0.168",FALSE
"186","lepidic_58.6","aSMA+CD90+PDGFRb-PDPN-CAV1+","11","294","PanCK-Vim+MUC1+","6","9","13.9920634920635","0.31",FALSE
